original,equivalente
repeatedly,repeat
repeater,repeat
repetition,repeat
replacement,replace
replicability,replicate
fact-reporte,report
reporting,report
representation,represent
reproduction,reproduce
reputable,repute
reputation,repute
requirement,require
reservation,reserve
reservoir,reserve
residential,residence
resistance,resist
resolution,resolve
respectful,respect
respond,response
eco-responsible,responsibility
responsible,responsibility
restoration,restore
restriction,restrict
retention,retain
retrieve,retrieval
retroactively,retroactive
health-risk,risk
human-robot,robot
robotic,robot
roofing,roof
classroom,room
roughly,rough
routinely,routine
rule-based,rule
running,run
run-time,runtime
safe,safety
sampling,sample
satisfaction,satisfy
saving,save
sawing,saw
scalability,scale
scalable,scale
microscale,scale
exitscam,scam
scams,scam
scanner,scan
scanning,scan
scheduling,schedule
schema,scheme
schematic,scheme
scientific,science
e-scooter,scooter
off-screen,screen
screen-free,screen
scripting,script
sculpting,sculpt
searching,search
backseat,seat
secondary,second
cybersecurity,security
cyber-security,security
cybersecurity-related,security
secure,security
securely,security
security-related,security
seeking,seek
segmentation,segment
seismometer,seismic
selection,select
selective,select
selectively,select
oneself,self
selling,sell
semi-,semi
online-seminar,seminar
sensing,sense
sensitive,sense
sensor,sense
sentencing,sentence
separation,separate
sequencing,sequence
serie,series
e-service,service
service-oriented,service
setting,set
sets-up,setup
set-up,setup
severity,severe
sewerage,sewer
sexually,sex
sharable,share
shared,share
sharing,share
shipping,ship
shooting,shoot
shopping,shop
shut-down,shutdown
signage,sign
signature,sign
signing,sign
mixed-signal,signal
signaller,signal
simulation,simulate
non-simultaneous,simultaneous
simultaneously,simultaneous
situation,situate
resize,size
smiley,smile
socialise,social
societal,society
sofware,software
solidity,solid
problem-solving,solution
solve,solution
sophisticated,sophisticate
makerspace,space
spoken,speak
loudspeaker,speaker
specialised,special
specialist,specialise
specialize,specialise
specialized,specialise
specific,specify
specifically,specify
specification,specify
speech-based,speech
spelling,spell
spending,spend
stabilise,stable
stability,stable
stakeholder,stake
stamping,stamp
standardisation,standard
standardised,standard
start-up,startup
statistic,statistics
statistical,statistics
steering,steer
step-by-step,step
step-wise,step
store,storage
strategic,strategy
streaming,stream
strengthen,strength
strong,strength
stretching,stretch
semi-structure,structure
semi-structured,structure
structured,structure
well-structured,structure
student,study
stylistic,style
substituting,substitute
succesfully,success
successful,success
sufficiently,sufficient
suggestion,suggest
suitability,suit
suitable,suit
supervised,supervise
supervision,supervise
supplier,supply
surveillance,surveil
surveying,survey
survival,survive
suspicious,suspect
sustainability,sustain
sustainable,sustain
sustainably,sustain
synchronise,synchronize
synchronised,synchronize
synchronization,synchronize
synchronous,synchronize
syntactically,syntax
synthesiser,synthesize
synthesizer,synthesize
it-system,system
subsystem,system
systems,system
systematically,systematic
e-tailore,tailor
taxis,taxi
e-teache,teach
teacher,teach
teaching,teach
technic,technique
technical,technique
technically,technique
technician,technique
low-tech,technology
tech,technology
technological,technology
technologically,technology
technologie,technology
telecommunications,telecommunication
tv,television
longerterm,term
longer-term,term
long-term,term
short-term,term
testing,test
non-textual,text
text-,text
text-based,text
text-to-voice,text
textual,text
texturing,texture
thief,theft
thematic,theme
theoretical,theory
thinking,think
ticketing,ticket
multi-tier,tier
real-time,time
subtitle,title
tolerance,tolerate
tool-based,tool
e-tourism,tourism
tourist,tourism
traceable,trace
multi-track,track
time-tracking,track
tracking,track
trading,trade
traditional,tradition
trainee,train
trainer,train
training,train
trajectory-based,trajectory
transcript,transcribe
transducer,transduce
transferring,transfer
transformation,transform
transformative,transform
transformer,transform
itranslate,translate
translation,translate
transmission,transmit
transmitter,transmit
transparency,transparent
transportation,transport
transport-related,transport
traveller,travel
troubleshoot,trouble
trouble-shoote,trouble
troubleshooting,trouble
troubling,trouble
trunking,trunk
trustless,trust
truthful,truth
tubular,tube
fine-tune,tune
multi-turn,turn
videotutorial,tutorial
video-tutorial,tutorial
subtype,type
typing,type
typesetting,typeset
typically,typical
unauthorised,unauthorise
unauthorized,unauthorise
unbalanced,unbalance
underlying,underlie
understandable,understand
understanding,understand
undesired,undesire
unexpected,unexpect
unforeseen,unforesee
unified,unify
universally,universal
commonly-used,use
misuse,use
most-used,use
non-use,use
overuse,use
reusable,use
re-usable,use
reuse,use
re-use,use
usability,use
usable,use
usage,use
useful,use
usefulness,use
email-user,user
end-user,user
user-derived,user
user-friendliness,user
usually,usual
utilisation,utilise
utilize,utilise
validate,valid
validation,valid
validity,valid
vary,variety
vehicle-base,vehicle
vehicle-to-everything,vehicle
vehicle-to-vehicle,vehicle
ventilation,ventilate
non-verbal,verb
verbal,verb
verifiable,verify
verification,verify
viability,viable
vibration,vibrate
victimisation,victim
preview,view
viewing,view
vigilant,vigilance
virtualisation,virtual
virtualization,virtual
virtually,virtual
visibility,vision
visible,vision
visitor,visit
previsualisation,visual
pre-visualisation,visual
visualisation,visual
visualise,visual
visually,visual
vitalise,vital
voting,vote
vulnerability,vulnerable
warehousing,warehouse
e-waste,waste
watchful,watch
weaken,weak
weakness,weak
weather-related,weather
web-based,web
webpage,web
website,web
weighting,weight
well-being,wellbeing
widely,wide
fi,wifi
wi-fi,wifi
willing,will
wiring,wire
wise,wisdom
wooden,wood
keyword,word
co-worker,work
worker,work
working,work
workplace,work
real-world,world
worsen,worse
written,write
xml-based,xml
